100,65,65,60,xlarge
60,60,60,60,xlarge
150,8,40,7.25,xlarge
120,85,120,65,xlarge
167,65,65,62,xlarge
140,10,60,42.2,xlarge
170,22,45,10,xlarge
170,24,46,15,xlarge
95,20,50,66,xlarge
163,44,50,4.6,xlarge
140,50,80,53.5,xlarge
200,20,90,12,xlarge
200,23,160,35.2,xlarge
200,50,120,2.314,xlarge
145,40,46,27.45,xlarge
160,60,80,35.5,xlarge
175,7,45,9.5,xlarge
146,18,37,9.85,xlarge
200,28,160,51.7,xlarge
250,10,14,1.17,xlarge
160,15,80,15,xlarge
96,11,52,46,xlarge
180,20,80,18,xlarge
120,60,120,140,xlarge
120,60,120,140,xlarge
150,45,60,19.85,xlarge
182,22,75,21,xlarge
100,33,64,44.6,xlarge
90,52,65,56.7,xlarge
180,35,50,15,xlarge
133,57,72,51.2,xlarge
142,10,50,7.3,xlarge
200,22,90,10.65,xlarge
200,22,90,18.5,xlarge
91,65,75,66,xlarge
150,15,40,12.5,xlarge
184,53,80,60.3,xlarge
155,64,93,43,xlarge
78,10,25,45.02,xlarge
90,45,50,60,xlarge
160,60,110,25.8,xlarge
200,20,90,140,xlarge
250,10,45,15.1,xlarge
250,10,43,15.5,xlarge
235,70,96,20,xlarge
235,70,96,20,xlarge
235,70,96,20,xlarge
235,70,96,20,xlarge
185,10,10,0.9,xlarge
130,40,40,45,xlarge
130,40,40,45,xlarge
120,75,90,110,xlarge
120,75,90,110,xlarge
120,75,90,110,xlarge
120,75,90,110,xlarge
250,100,100,85,xlarge
175,7,45,9.5,xlarge
190,40,170,40,xlarge
190,40,170,40,xlarge
185,52,52,47,xlarge
70,10,42,200,xlarge
150,8,40,7.25,xlarge
200,6,46,11,xlarge
85,30,34,450,xlarge
180,6,60,3.5,xlarge
130,70,70,45,xlarge
180,7,12,0.84,xlarge
300,5,10,2.5,xlarge
300,20,20,12,xlarge
200,30,180,70,xlarge
182,22,75,21,xlarge
182,22,75,21,xlarge
